SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37375,2023-09,1153,김유정문학제,김유정문학제,18,문화축제
37376,2023-09,367,김천국제가족연극제,김천국제가족연극제,20,문화축제
37377,2023-09,368,김천예술제,김천예술제,180,문화축제
37379,2023-09,237,김해독서대전,김해독서대전,180,문화축제
37380,2023-09,236,김해분청도자기축제,김해분청도자기축제,2120,문화축제
37381,2023-09,630,남도음식문화큰잔치,남도음식문화큰잔치,2140,문화축제
37382,2023-09,431,남부면 수국축제,남부면수국축제,160,문화축제
37383,2023-09,661,남산상봉제,남산상봉제,1770,문화축제
37384,2023-09,560,남이흥장군 문화제,남이흥장군문화제,12,문화축제
37385,2023-09,1091,내 집 앞 세계영화제,내집앞세계영화제,150,문화축제
37386,2023-09,304,노원등축제,노원등축제,40,문화축제
37387,2023-09,305,노원탈축제,노원탈축제,1110,문화축제
37388,2023-09,186,논산딸기축제,논산딸기축제,2040,문화축제
37389,2023-09,29,단감축제,단감축제,250,문화축제
37390,2023-09,480,단종문화제,단종문화제,110,문화축제
37391,2023-09,477,달구벌목민관축제,달구벌목민관축제,15,문화축제
37392,2023-09,466,달마고도 걷기축제,달마고도걷기축제,45,문화축제
37393,2023-09,39,달맞이축제,달맞이축제,470,문화축제
37394,2023-09,474,달성토성마을축제,달성토성마을축제,50,문화축제
37395,2023-09,712,달집태우기,달집태우기,900,문화축제
37396,2023-09,733,담양대나무축제,담양대나무축제,820,문화축제
37397,2023-09,734,담양산타축제,담양산타축제,160,문화축제
37398,2023-09,1082,대관령눈꽃축제,대관령눈꽃축제,750,문화축제
37399,2023-09,697,대구국제뮤지컬페스티벌,대구국제뮤지컬페스티벌,230,문화축제
37400,2023-09,696,대구국제오페라축제,대구국제오페라축제,1200,문화축제
37401,2023-09,695,대구국제재즈축제,대구국제재즈축제,580,문화축제
37402,2023-09,705,대구국제패션문화페스티벌,대구국제패션문화페스티벌,11,문화축제
37403,2023-09,703,대구국제호러페스티벌,대구국제호러페스티벌,18,문화축제
37404,2023-09,957,대구스트리트 모터 페스티벌,대구스트리트모터페스티벌,60,문화축제
37405,2023-09,700,대구약령시한방문화축제,대구약령시한방문화축제,90,문화축제
37406,2023-09,954,대구워터페스티벌,대구워터페스티벌,22,문화축제
37407,2023-09,702,대구치맥페스티벌,대구치맥페스티벌,67760,문화축제
37408,2023-09,701,대구포크페스티벌,대구포크페스티벌,2020,문화축제
37409,2023-09,912,대구화교중화문화축제,대구화교중화문화축제,17,문화축제
37410,2023-09,884,덕수리 전통민속축제,덕수리전통민속축제,20,문화축제
37411,2023-09,15,도봉구 등축제,도봉구등축제,50,문화축제
37412,2023-09,1015,독일마을 맥주축제,독일마을맥주축제,15080,문화축제
37413,2023-09,481,동강국제사진제,동강국제사진제,1280,문화축제
37414,2023-09,636,동두천 청소년 별자리과학 축제,동두천청소년별자리과학축제,20,문화축제
37415,2023-09,637,동두천시 자원봉사 축제,동두천시자원봉사축제,20,문화축제
37416,2023-09,768,동래읍성역사축제,동래읍성역사축제,3800,문화축제
37417,2023-09,911,동성로축제,동성로축제,830,문화축제
37418,2023-09,663,동춘당문화제,동춘당문화제,28,문화축제
37419,2023-09,907,동해무릉제,동해무릉제,29840,문화축제
37420,2023-09,178,류방택 별 축제,류방택별축제,50,문화축제
37421,2023-09,656,마산가고파국화축제,마산가고파국화축제,150,문화축제
37422,2023-09,660,마산만날제,마산만날제,1440,문화축제
37423,2023-09,478,마토예술제,마토예술제,200,문화축제
37424,2023-09,629,명량대첩축제,명량대첩축제,25020,문화축제
